Version,Vector,BaseScore,ImpactSubscore,ExploitabilitySubscore,TemporalScore,EnvironmentalScore,Severity
2,AV:A/AC:H/Au:N/C:P/I:N/A:N/E:U/RL:OF/RC:C,1.8,2.86,3.18,1.3,,Low
2,AV:A/AC:H/Au:N/C:P/I:N/A:N/E:U/RL:U/RC:UR,1.8,2.86,3.18,1.5,,Low
2,AV:A/AC:H/Au:N/C:P/I:N/A:P,3.2,4.94,3.18,,,Low
2,AV:A/AC:H/Au:N/C:P/I:N/A:P/E:U/RL:OF/RC:C,3.2,4.94,3.18,2.4,,Low
2,AV:A/AC:H/Au:N/C:P/I:P/A:C,5.8,8.55,3.18,,,Medium
2,AV:A/AC:H/Au:N/C:P/I:P/A:C/E:U/RL:OF/RC:C,5.8,8.55,3.18,4.3,,Medium
2,AV:A/AC:H/Au:N/C:P/I:P/A:N,3.2,4.94,3.18,,,Low
2,AV:A/AC:H/Au:N/C:P/I:P/A:N/E:U/RL:OF/RC:C,3.2,4.94,3.18,2.4,,Low
2,AV:A/AC:H/Au:N/C:P/I:P/A:N/E:U/RL:U/RC:UR,3.2,4.94,3.18,2.6,,Low
2,AV:A/AC:H/Au:N/C:P/I:P/A:P,4.3,6.44,3.18,,,Medium
2,AV:A/AC:H/Au:N/C:P/I:P/A:P/E:F/RL:OF/RC:C,4.3,6.44,3.18,3.6,,Medium
2,AV:A/AC:H/Au:N/C:P/I:P/A:P/E:U/RL:OF/RC:C,4.3,6.44,3.18,3.2,,Medium
2,AV:A/AC:H/Au:S/C:C/I:C/A:C,6.5,10,2.53,,,Medium
2,AV:A/AC:H/Au:S/C:C/I:C/A:C/E:H/RL:ND/RC:ND,6.5,10,2.53,6.5,,Medium
2,AV:A/AC:H/Au:S/C:C/I:C/A:C/E:H/RL:OF/RC:C,6.5,10,2.53,5.7,,Medium
2,AV:A/AC:H/Au:S/C:C/I:C/A:C/E:ND/RL:ND/RC:ND,6.5,10,2.53,,,Medium
2,AV:A/AC:H/Au:S/C:C/I:C/A:C/E:POC/RL:OF/RC:C,6.5,10,2.53,5.1,,Medium
2,AV:A/AC:H/Au:S/C:C/I:C/A:C/E:U/RL:OF/RC:C,6.5,10,2.53,4.8,,Medium
2,AV:A/AC:H/Au:S/C:C/I:C/A:C/E:U/RL:U/RC:UR,6.5,10,2.53,5.2,,Medium
2,AV:A/AC:H/Au:S/C:C/I:C/A:N/E:H/RL:OF/RC:C,5.9,9.21,2.53,5.1,,Medium
